"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2019-07-01",3637070.5,5429292.75,106.549932778392,107.067889612404,108.053773161309,3.6,13439300,15031400,2.125,2.19,1.98,1.79666666666667,8067.4640625,7776.0315625,106.606898891855,113.484565774734,90654115,39484174000,33146026
"2019-10-01",3675259.5,5483304.25,106.967041491225,107.400677192755,108.812698640411,3.6,13750200,15348000,1.625,1.64333333333333,1.57666666666667,1.79333333333333,8445.70890625,8211.48140625,105.878255900133,114.91821301335,93883797,39862370000,33471391
"2020-01-01",3624056.75,5431914.25,107.294718030844,107.896504042439,109.20496016028,3.83333333333333,14445900,15993800,1.125,1.26,1.11,1.37666666666667,8771.72919354839,8688.47935483871,106.735482949218,116.081129702906,87016066,40623941000,34184947
"2020-04-01",3293909.25,4983861,106.863518376828,107.49865646163,108.139285891349,13,16554500,18141100,0.125,0.06,0.143333333333333,0.686666666666667,9091,9192.20380952381,110.757306521176,117.634638397313,94237759,41291306000,34851352
"2020-07-01",3619508.25,5421137.75,107.72591591463,108.439385070129,109.375423036609,8.8,17159200,18596600,0.125,0.0933333333333333,0.113333333333333,0.65,10926.83359375,11124.4821875,107.306967648608,120.121503036599,97970157,42321381000,35701304
"2020-10-01",3688183,5517191.75,108.241427402676,109.176494440823,110.16444674635,6.76666666666667,17827900,19133200,0.125,0.09,0.0933333333333333,0.863333333333333,11954.4465625,12044.70328125,103.810195644215,124.34991988608,105250690,43545288000,36761696
"2021-01-01",3814856.75,5664198.25,109.454480508842,110.559592287741,111.259234724357,6.23333333333333,18607900,19823400,0.125,0.08,0.05,1.31666666666667,13351.4563934426,13124.912295082,102.285045852718,126.919471558635,108984928,45034591000,38105974
"2021-04-01",4004086.5,5842215.25,111.156329810702,112.271595039777,113.323917087813,5.93333333333333,19320200,20474700,0.125,0.07,0.0266666666666667,1.59333333333333,13847.6280952381,13797.3647619048,103.663752689996,129.849997296603,113524150,47707647000,40435133
"2021-07-01",4090969,5980497.75,112.691394830241,113.957128453714,115.141062601155,5.06666666666667,19867300,20978600,0.125,0.09,0.0466666666666667,1.32333333333333,14839.97234375,15113.5428125,105.731812945914,133.374532089756,115039322,49985632000,42452649
"2021-10-01",4204033,6194259.5,114.557551638268,115.939736018952,117.602225862608,4.2,20398900,21470900,0.125,0.08,0.0533333333333333,1.53666666666667,15390.78671875,15843.41921875,107.449838823456,136.660212532601,118106166,51142014000,43335592
"2022-01-01",4293776.25,6303872.75,116.721285397665,118.295956961062,120.186735611305,3.83333333333333,20684100,21720800,0.208333333333333,0.12,0.306666666666667,1.94,14000.6198387097,14576.9359677419,108.63566957469,139.698092444016,116407606,55044223000,46942395
"2022-04-01",4400938.25,6451447.75,118.875805763504,120.980387077004,123.058585010448,3.63333333333333,20592600,21642500,0.958333333333333,0.77,1.07666666666667,2.93,12195.24,12733.2448387097,113.139683361759,139.563378590442,108606393,57537915000,49285658
