"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1986-06-01",380792.63631091,53.3564328458573,46.1599967088851,7.2,1523800,2605000,6.875,6.92,6.21,7.8,398.595238095238,160.7,
"1986-07-01",383383.41632205,53.2842915473284,46.2021904901546,7,1545500,2626600,6.375,6.56,5.83,7.3,385.885454545455,150.924545454545,
"1986-08-01",383393.452010195,53.3257706311821,46.2443842714242,6.9,1568100,2646500,5.875,6.17,5.53,7.17,375.617142857143,147.533333333333,
"1986-09-01",385140.381667755,53.4838565180199,46.4131593965023,7,1591300,2667800,5.875,5.89,5.21,7.45,358.293333333333,141.002857142857,
"1986-10-01",386386.419062605,53.5888270327819,46.4975469590414,7,1614500,2687400,5.875,5.85,5.18,7.43,355.032608695652,140.809565217391,
"1986-11-01",387439.760193713,53.6589461573616,46.5819345215805,6.9,1636600,2701300,5.875,6.04,5.35,7.25,358.078947368421,144.215263157895,
"1986-12-01",390580.570743678,53.7181262761282,46.7507096466587,6.6,1665600,2728000,5.875,6.91,5.53,7.11,354.921363636364,145.193636363636,
"1987-01-01",390334.146392557,53.9423390376147,47.003872334276,6.6,1682300,2743900,6,6.43,5.43,7.08,384.227142857143,160.762857142857,
"1987-02-01",394631.080232117,53.9538288259205,47.1726474593542,6.6,1689900,2747500,6,6.1,5.59,7.25,411.712631578947,177.255789473684,
"1987-03-01",395573.773375325,54.0980513519334,47.3414225844324,6.6,1698300,2753700,6,6.13,5.59,7.25,432.204545454545,185.722272727273,
"1987-04-01",398468.42527971,54.2575607082472,47.5523914907801,6.3,1714100,2767700,6.5,6.37,5.64,8.02,422.771428571429,184.872857142857,
"1987-05-01",400484.103522325,54.3428430360313,47.6789728345888,6.3,1718500,2772900,6.75,6.85,5.66,8.61,416.634,186.9885,
"1987-06-01",402587.471197962,54.5167690359428,47.8899417409365,6.2,1712900,2774600,6.75,6.73,5.67,8.4,423.695909090909,189.447272727273,
"1987-07-01",404320.664337515,54.6007801960459,48.0165230847452,6.1,1709000,2779000,6.625,6.58,5.69,8.45,429.006818181818,192.395,
"1987-08-01",407349.32824898,54.7790527358248,48.2274919910929,6,1707800,2788200,6.75,6.73,6.04,8.76,448.384761904762,205.971904761905,
"1987-09-01",409468.757413502,54.9723883392794,48.3962671161711,5.9,1708000,2799500,7.3125,7.22,6.4,9.42,442.798571428571,203.522380952381,
"1987-10-01",414774.806750328,55.0611306887758,48.5228484599797,6,1709200,2814800,7.3125,7.29,6.13,9.52,385.053636363636,175.855,
"1987-11-01",417533.728836922,55.2528823750442,48.6916235850579,5.8,1694600,2818900,6.8125,6.69,5.69,8.86,318.753,145.696,
"1987-12-01",419689.964412745,55.3474211421749,48.776011147597,5.7,1687600,2826400,6.8125,6.77,5.77,8.99,314.538181818182,146.550454545455,
"1988-01-01",420391.42044612,55.5606830210319,48.9447862726752,5.7,1692700,2847400,6.625,6.83,5.81,8.67,339.279,158.3235,
"1988-02-01",422793.909579655,55.635405924623,49.0291738352143,5.7,1695700,2870400,6.5,6.58,5.66,8.21,353.578,164.385,
"1988-03-01",425157.669974227,55.7651970420302,49.1557551790229,5.7,1703000,2890700,6.75,6.58,5.7,8.37,375.543043478261,177.183043478261,
"1988-04-01",430565.634645823,56.0067384712386,49.4511116479098,5.4,1713100,2910700,6.75,6.87,5.91,8.72,377.2355,175.5615,
"1988-05-01",431845.79099791,56.1794994528326,49.5776929917184,5.6,1721400,2926000,7.25,7.09,6.26,9.09,371.880952380952,173.002380952381,
"1988-06-01",435097.574356265,56.399176980707,49.7886618980662,5.4,1730900,2938400,7.4375,7.51,6.46,8.92,385.981818181818,183.901818181818,
"1988-07-01",437149.614900422,56.6587043059054,49.9996308044139,5.4,1733400,2947200,7.6875,7.75,6.73,9.06,391.4015,185.6105,
"1988-08-01",441085.049431433,56.8488022588456,50.2105997107616,5.6,1729600,2952000,8.125,8.01,7.06,9.26,379.60652173913,174.494347826087,
"1988-09-01",442474.08566815,57.0924002606987,50.4215686171094,5.4,1722100,2956900,8.125,8.19,7.24,8.98,382.156666666667,175.527142857143,
"1988-10-01",446414.425497092,57.2011923534357,50.5903437421876,5.4,1716700,2965300,8.125,8.3,7.35,8.8,385.008571428571,176.248571428571,
"1988-11-01",449725.516554103,57.3551662442222,50.7591188672657,5.3,1716800,2980200,8.375,8.35,7.76,8.96,372.891428571429,169.346666666667,
"1988-12-01",453737.307948805,57.5177230727314,50.9278939923439,5.3,1713000,2988200,8.6875,8.76,8.07,9.11,375.782857142857,173.529047619048,
"1989-01-01",457517.67234547,57.7612599734914,51.1388628986917,5.4,1701900,2991700,9,9.12,8.27,9.09,389.320952380952,179.627142857143,
"1989-02-01",458280.964445965,57.9726073136328,51.3076380237699,5.2,1688100,2992200,9.75,9.36,8.53,9.17,404.082105263158,187.476842105263,
"1989-03-01",462014.613208567,58.135297026867,51.5608007113871,5,1677100,2999700,9.75,9.85,8.82,9.36,403.995909090909,184.176818181818,
"1989-04-01",465556.11796287,58.38234544283,51.9405447428131,5.2,1660300,3006000,9.75,9.84,8.65,9.18,417.13,193.503,
"1989-05-01",467027.414435813,58.6021623854729,52.1937074304304,5.2,1641200,3011600,9.8125,9.81,8.43,8.86,435.993181818182,207.726363636364,
"1989-06-01",470532.217601318,58.7365441088069,52.3624825555085,5.3,1635400,3027900,9.5625,9.53,8.15,8.28,447.582727272727,213.983636363636,
"1989-07-01",471303.895978913,59.001412702051,52.5312576805867,5.2,1641400,3052400,9.0625,9.24,7.88,8.02,446.6965,210.524,
"1989-08-01",476309.979364172,58.9261662883332,52.5312576805867,5.2,1647200,3074400,9.0625,8.99,7.9,8.11,461.827826086957,217.336956521739,
"1989-09-01",476227.37465692,59.0788547661332,52.6578390243954,5.3,1653900,3092500,9.0625,9.02,7.75,8.19,469.2785,223.4335,
"1989-10-01",476418.687531375,59.3236966697945,52.9110017120127,5.3,1665600,3114100,8.75,8.84,7.64,8.01,469.680909090909,228.318636363636,
"1989-11-01",478554.93111454,59.4533250425029,53.1219706183604,5.4,1675100,3133300,8.5,8.55,7.69,7.87,454.697142857143,221.848571428571,
"1989-12-01",481835.63135408,59.4895402310189,53.2907457434386,5.4,1686600,3152500,8.25,8.45,7.63,7.84,449.0145,219.6255,
"1990-01-01",484313.263608513,59.9040239820673,53.7970711186732,5.4,1696100,3166800,8.25,8.23,7.64,8.21,439.350454545455,212.401818181818,
"1990-02-01",489803.710987515,60.0073291955119,54.0080400250209,5.3,1702800,3179200,8.25,8.24,7.74,8.47,424.524210526316,206.174210526316,
"1990-03-01",494058.275403978,60.2758193297647,54.2612027126382,5.2,1709900,3190100,8.25,8.28,7.9,8.59,436.090454545455,213.725,
